"state_alpha2","year","beopct_all","post.t","t","t.post.t"
"AL",1970,0,0,1,0
"AL",1971,1.3333334,0,1,0
"AL",1972,1.3333334,0,1,0
"AL",1973,1.3333334,0,1,0
"AL",1974,2,0,1,0
"AL",1975,10.067114,0,1,0
"AL",1976,10.067114,0,1,0
"AL",1977,10.067114,0,1,0
"AL",1978,10.067114,0,1,0
"AL",1979,10.738256,0,1,0
"AL",1980,10.067114,0,1,0
"AL",1981,10.738256,0,1,0
"AL",1982,10.738256,0,1,0
"AL",1983,13.422818,0,1,0
"AL",1984,16.107382,0,1,0
"AL",1985,16.107382,0,1,0
"AL",1986,16.107382,0,1,0
"AL",1987,16.107382,0,1,0
"AL",1988,16.107382,0,1,0
"AL",1989,15.436241,0,1,0
"AL",1990,15.436241,0,1,0
"AL",1991,16.107382,0,1,0
"AL",1992,16.107382,1,1,1
"AL",1993,15.436241,1,1,1
"AL",1994,15.436241,1,1,1
"AL",1995,24.161074,1,1,1
"AL",1996,24.161074,1,1,1
"AL",1997,24.161074,1,1,1
"AL",1998,24.161074,1,1,1
"AL",1999,24.161074,1,1,1
"AL",2000,24.161074,1,1,1
"AL",2001,24.161074,1,1,1
"AL",2002,24.161074,1,1,1
"AL",2003,24.161074,1,1,1
"AL",2004,24.161074,1,1,1
"AL",2005,22.818792,1,1,1
"AL",2006,24.161074,1,1,1
"AL",2007,23.489933,1,1,1
"AL",2008,24.161074,1,1,1
"AL",2009,24.161074,1,1,1
"AL",2010,24.161074,1,1,1
"AK",1970,0,0,0,0
"AK",1971,3.1746035,0,0,0
"AK",1972,3.1746035,0,0,0
"AK",1973,3.1746035,0,0,0
"AK",1974,3.1746035,0,0,0
"AK",1975,1.5873017,0,0,0
"AK",1976,0,0,0,0
"AK",1977,0,0,0,0
"AK",1978,0,0,0,0
"AK",1979,0,0,0,0
"AK",1980,0,0,0,0
"AK",1981,1.5873017,0,0,0
"AK",1982,0,0,0,0
"AK",1983,1.5873017,0,0,0
"AK",1984,1.5873017,0,0,0
"AK",1985,1.5873017,0,0,0
"AK",1986,1.5873017,0,0,0
"AK",1987,1.5873017,0,0,0
"AK",1988,1.5873017,0,0,0
"AK",1989,1.5873017,0,0,0
"AK",1990,1.5873017,0,0,0
"AK",1991,1.5873017,0,0,0
"AK",1992,1.5873017,1,0,0
"AK",1993,1.5873017,1,0,0
"AK",1994,1.5873017,1,0,0
"AK",1995,1.5873017,1,0,0
"AK",1996,1.5873017,1,0,0
"AK",1997,0,1,0,0
"AK",1998,0,1,0,0
"AK",1999,0,1,0,0
"AK",2000,0,1,0,0
"AK",2001,1.5873017,1,0,0
"AK",2002,1.5873017,1,0,0
"AK",2003,1.5873017,1,0,0
"AK",2004,1.5873017,1,0,0
"AK",2005,1.5873017,1,0,0
"AK",2006,1.5873017,1,0,0
"AK",2007,1.5873017,1,0,0
"AK",2008,1.5873017,1,0,0
"AK",2009,1.5873017,1,0,0
"AK",2010,1.5873017,1,0,0
"AZ",1970,3.125,0,0,0
"AZ",1971,4.166667,0,0,0
"AZ",1972,4.166667,0,0,0
"AZ",1973,2.0833335,0,0,0
"AZ",1974,2.0833335,0,0,0
"AZ",1975,2.0833335,0,0,0
"AZ",1976,2.0833335,0,0,0
"AZ",1977,2.0833335,0,0,0
"AZ",1978,2.0833335,0,0,0
"AZ",1979,2.0833335,0,0,0
"AZ",1980,2.0618556,0,0,0
"AZ",1981,2.0618556,0,0,0
"AZ",1982,2.0618556,0,0,0
"AZ",1983,2.0618556,0,0,0
"AZ",1984,2.0618556,0,0,0
"AZ",1985,2.0618556,0,0,0
"AZ",1986,2.0618556,0,0,0
"AZ",1987,3.0927835,0,0,0
"AZ",1988,3.0927835,0,0,0
"AZ",1989,3.0927835,0,0,0
"AZ",1990,3.0612245,0,0,0
"AZ",1991,4.0816326,0,0,0
"AZ",1992,4.0816326,1,0,0
"AZ",1993,4.0816326,1,0,0
"AZ",1994,4.0816326,1,0,0
"AZ",1995,4.0816326,1,0,0
"AZ",1996,4.0816326,1,0,0
"AZ",1997,4.0816326,1,0,0
"AZ",1998,4.0816326,1,0,0
"AZ",1999,2.0408163,1,0,0
"AZ",2000,2,1,0,0
"AZ",2001,1,1,0,0
"AZ",2002,1,1,0,0
"AZ",2003,1,1,0,0
"AZ",2004,1,1,0,0
"AZ",2005,1,1,0,0
"AZ",2006,1,1,0,0
"AZ",2007,1,1,0,0
"AZ",2008,1,1,0,0
"AZ",2009,2,1,0,0
"AZ",2010,1.980198,1,0,0
"AR",1970,0,0,0,0
"AR",1971,0,0,0,0
"AR",1972,0,0,0,0
"AR",1973,2.8368793,0,0,0
"AR",1974,2.8368793,0,0,0
"AR",1975,2.8368793,0,0,0
"AR",1976,2.8368793,0,0,0
"AR",1977,2.8368793,0,0,0
"AR",1978,2.8368793,0,0,0
"AR",1979,2.8368793,0,0,0
"AR",1980,2.8368793,0,0,0
"AR",1981,3.5460994,0,0,0
"AR",1982,3.5460994,0,0,0
"AR",1983,3.5460994,0,0,0
"AR",1984,3.5460994,0,0,0
"AR",1985,3.5460994,0,0,0
"AR",1986,3.5460994,0,0,0
"AR",1987,3.5460994,0,0,0
"AR",1988,3.5460994,0,0,0
"AR",1989,4.2553191,0,0,0
"AR",1990,4.2553191,0,0,0
"AR",1991,8.5106382,0,0,0
"AR",1992,8.5106382,1,0,0
"AR",1993,9.2198582,1,0,0
"AR",1994,9.2198582,1,0,0
"AR",1995,9.2198582,1,0,0
"AR",1996,9.2198582,1,0,0
"AR",1997,9.2198582,1,0,0
"AR",1998,9.2198582,1,0,0
"AR",1999,10.638298,1,0,0
"AR",2000,10.638298,1,0,0
"AR",2001,10.638298,1,0,0
"AR",2002,10.638298,1,0,0
"AR",2003,11.347517,1,0,0
"AR",2004,11.347517,1,0,0
"AR",2005,10.638298,1,0,0
"AR",2006,10.638298,1,0,0
"AR",2007,10.638298,1,0,0
"AR",2008,10.638298,1,0,0
"AR",2009,9.9290781,1,0,0
"AR",2010,9.9290781,1,0,0
"CA",1970,4.2424245,0,0,0
"CA",1971,4.8484845,0,0,0
"CA",1972,4.8484845,0,0,0
"CA",1973,6.060606,0,0,0
"CA",1974,6.060606,0,0,0
"CA",1975,6.060606,0,0,0
"CA",1976,6.666667,0,0,0
"CA",1977,6.666667,0,0,0
"CA",1978,6.060606,0,0,0
"CA",1979,6.666667,0,0,0
"CA",1980,6.5868268,0,0,0
"CA",1981,7.1856289,0,0,0
"CA",1982,7.1856289,0,0,0
"CA",1983,7.1856289,0,0,0
"CA",1984,7.1856289,0,0,0
"CA",1985,7.1856289,0,0,0
"CA",1986,7.1856289,0,0,0
"CA",1987,7.1856289,0,0,0
"CA",1988,7.1856289,0,0,0
"CA",1989,6.5868268,0,0,0
"CA",1990,6.8965516,0,0,0
"CA",1991,7.4712644,0,0,0
"CA",1992,7.4712644,1,0,0
"CA",1993,7.4712644,1,0,0
"CA",1994,7.4712644,1,0,0
"CA",1995,7.4712644,1,0,0
"CA",1996,6.8965516,1,0,0
"CA",1997,6.3218393,1,0,0
"CA",1998,5.7471266,1,0,0
"CA",1999,5.7471266,1,0,0
"CA",2000,5.7142859,1,0,0
"CA",2001,5.7142859,1,0,0
"CA",2002,5.7142859,1,0,0
"CA",2003,5.7142859,1,0,0
"CA",2004,5.7142859,1,0,0
"CA",2005,5.7142859,1,0,0
"CA",2006,5.7142859,1,0,0
"CA",2007,7.4285717,1,0,0
"CA",2008,6.8571424,1,0,0
"CA",2009,6.8571424,1,0,0
"CA",2010,7.4285717,1,0,0
"CO",1970,2.8037381,0,0,0
"CO",1971,2.8037381,0,0,0
"CO",1972,2.8037381,0,0,0
"CO",1973,3.7383177,0,0,0
"CO",1974,3.7383177,0,0,0
"CO",1975,2.8037381,0,0,0
"CO",1976,2.8037381,0,0,0
"CO",1977,2.8037381,0,0,0
"CO",1978,2.8037381,0,0,0
"CO",1979,2.8037381,0,0,0
"CO",1980,1.8518518,0,0,0
"CO",1981,2.7777779,0,0,0
"CO",1982,2.7777779,0,0,0
"CO",1983,2.7777779,0,0,0
"CO",1984,2.7777779,0,0,0
"CO",1985,2.7777779,0,0,0
"CO",1986,2.7777779,0,0,0
"CO",1987,3.7037036,0,0,0
"CO",1988,3.7037036,0,0,0
"CO",1989,3.7037036,0,0,0
"CO",1990,3.7037036,0,0,0
"CO",1991,3.7037036,0,0,0
"CO",1992,3.7037036,1,0,0
"CO",1993,3.7037036,1,0,0
"CO",1994,3.7037036,1,0,0
"CO",1995,2.7777779,1,0,0
"CO",1996,2.7777779,1,0,0
"CO",1997,2.7777779,1,0,0
"CO",1998,2.7777779,1,0,0
"CO",1999,2.7777779,1,0,0
"CO",2000,2.7522936,1,0,0
"CO",2001,2.7522936,1,0,0
"CO",2002,2.7522936,1,0,0
"CO",2003,4.5871558,1,0,0
"CO",2004,4.5871558,1,0,0
"CO",2005,4.5871558,1,0,0
"CO",2006,4.5871558,1,0,0
"CO",2007,2.7522936,1,0,0
"CO",2008,2.7522936,1,0,0
"CO",2009,1.8348624,1,0,0
"CO",2010,0.91743118,1,0,0
"CT",1970,2.2624435,0,0,0
"CT",1971,2.7149322,0,0,0
"CT",1972,2.7149322,0,0,0
"CT",1973,3.0769231,0,0,0
"CT",1974,3.0769231,0,0,0
"CT",1975,2.5641026,0,0,0
"CT",1976,2.5641026,0,0,0
"CT",1977,3.0769231,0,0,0
"CT",1978,3.0769231,0,0,0
"CT",1979,3.0769231,0,0,0
"CT",1980,3.0769231,0,0,0
"CT",1981,5.1282053,0,0,0
"CT",1982,5.1282053,0,0,0
"CT",1983,5.1282053,0,0,0
"CT",1984,5.1282053,0,0,0
"CT",1985,5.1282053,0,0,0
"CT",1986,5.1282053,0,0,0
"CT",1987,5.1282053,0,0,0
"CT",1988,4.6153846,0,0,0
"CT",1989,4.1025643,0,0,0
"CT",1990,3.5897439,0,0,0
"CT",1991,5.1282053,0,0,0
"CT",1992,6.1538463,1,0,0
"CT",1993,6.666667,1,0,0
"CT",1994,6.666667,1,0,0
"CT",1995,7.1794877,1,0,0
"CT",1996,7.1794877,1,0,0
"CT",1997,7.1794877,1,0,0
"CT",1998,7.1794877,1,0,0
"CT",1999,7.1794877,1,0,0
"CT",2000,7.2164946,1,0,0
"CT",2001,6.7010307,1,0,0
"CT",2002,6.7010307,1,0,0
"CT",2003,6.7010307,1,0,0
"CT",2004,6.7010307,1,0,0
"CT",2005,6.7010307,1,0,0
"CT",2006,6.7010307,1,0,0
"CT",2007,6.7010307,1,0,0
"CT",2008,6.7010307,1,0,0
"CT",2009,7.2164946,1,0,0
"CT",2010,7.2164946,1,0,0
"DE",1970,4.9180326,0,0,0
"DE",1971,4.9180326,0,0,0
"DE",1972,4.9180326,0,0,0
"DE",1973,4.6153846,0,0,0
"DE",1974,4.6153846,0,0,0
"DE",1975,4.6153846,0,0,0
"DE",1976,4.6153846,0,0,0
"DE",1977,4.6153846,0,0,0
"DE",1978,4.6153846,0,0,0
"DE",1979,4.6153846,0,0,0
"DE",1980,4.6153846,0,0,0
"DE",1981,4.6153846,0,0,0
"DE",1982,4.6153846,0,0,0
"DE",1983,4.6153846,0,0,0
"DE",1984,4.6153846,0,0,0
"DE",1985,4.6153846,0,0,0
"DE",1986,4.6153846,0,0,0
"DE",1987,4.6153846,0,0,0
"DE",1988,4.6153846,0,0,0
"DE",1989,4.6153846,0,0,0
"DE",1990,4.6153846,0,0,0
"DE",1991,4.6153846,0,0,0
"DE",1992,4.6153846,1,0,0
"DE",1993,4.6153846,1,0,0
"DE",1994,4.6153846,1,0,0
"DE",1995,4.6153846,1,0,0
"DE",1996,4.6153846,1,0,0
"DE",1997,6.1538463,1,0,0
"DE",1998,6.1538463,1,0,0
"DE",1999,6.1538463,1,0,0
"DE",2000,6.1538463,1,0,0
"DE",2001,6.1538463,1,0,0
"DE",2002,6.1538463,1,0,0
"DE",2003,6.1538463,1,0,0
"DE",2004,6.1538463,1,0,0
"DE",2005,6.1538463,1,0,0
"DE",2006,6.1538463,1,0,0
"DE",2007,7.6923079,1,0,0
"DE",2008,7.6923079,1,0,0
"DE",2009,7.6923079,1,0,0
"DE",2010,7.6923079,1,0,0
"FL",1970,0.54347825,0,1,0
"FL",1971,1.0869565,0,1,0
"FL",1972,1.0869565,0,1,0
"FL",1973,1.6949153,0,1,0
"FL",1974,1.6949153,0,1,0
"FL",1975,1.6949153,0,1,0
"FL",1976,1.6949153,0,1,0
"FL",1977,1.6949153,0,1,0
"FL",1978,1.6949153,0,1,0
"FL",1979,2.259887,0,1,0
"FL",1980,2.2099447,0,1,0
"FL",1981,2.2099447,0,1,0
"FL",1982,2.7624309,0,1,0
"FL",1983,6.6298342,0,1,0
"FL",1984,6.6298342,0,1,0
"FL",1985,6.6298342,0,1,0
"FL",1986,6.6298342,0,1,0
"FL",1987,6.6298342,0,1,0
"FL",1988,6.6298342,0,1,0
"FL",1989,6.0773482,0,1,0
"FL",1990,5.9459457,0,1,0
"FL",1991,7.5675673,0,1,0
"FL",1992,7.5675673,1,1,1
"FL",1993,11.891891,1,1,1
"FL",1994,11.891891,1,1,1
"FL",1995,13.513513,1,1,1
"FL",1996,13.513513,1,1,1
"FL",1997,13.513513,1,1,1
"FL",1998,13.513513,1,1,1
"FL",1999,12.432432,1,1,1
"FL",2000,12.299465,1,1,1
"FL",2001,13.368983,1,1,1
"FL",2002,13.368983,1,1,1
"FL",2003,13.903743,1,1,1
"FL",2004,14.438502,1,1,1
"FL",2005,14.438502,1,1,1
"FL",2006,14.438502,1,1,1
"FL",2007,14.973262,1,1,1
"FL",2008,14.973262,1,1,1
"FL",2009,15.508021,1,1,1
"FL",2010,15.343915,1,1,1
"GA",1970,5.323194,0,1,0
"GA",1971,5.7034221,0,1,0
"GA",1972,5.7034221,0,1,0
"GA",1973,6.8548388,0,1,0
"GA",1974,6.8548388,0,1,0
"GA",1975,8.8709679,0,1,0
"GA",1976,9.2741938,0,1,0
"GA",1977,9.2741938,0,1,0
"GA",1978,9.2741938,0,1,0
"GA",1979,9.2741938,0,1,0
"GA",1980,9.2741938,0,1,0
"GA",1981,9.2741938,0,1,0
"GA",1982,8.8709679,0,1,0
"GA",1983,10.080646,0,1,0
"GA",1984,10.080646,0,1,0
"GA",1985,10.887096,0,1,0
"GA",1986,10.887096,0,1,0
"GA",1987,11.693548,0,1,0
"GA",1988,11.693548,0,1,0
"GA",1989,12.5,0,1,0
"GA",1990,12.4498,0,1,0
"GA",1991,14.45783,0,1,0
"GA",1992,14.859438,1,1,1
"GA",1993,17.269077,1,1,1
"GA",1994,17.269077,1,1,1
"GA",1995,18.072289,1,1,1
"GA",1996,18.072289,1,1,1
"GA",1997,18.875502,1,1,1
"GA",1998,18.875502,1,1,1
"GA",1999,18.473894,1,1,1
"GA",2000,18.326694,1,1,1
"GA",2001,19.920319,1,1,1
"GA",2002,19.920319,1,1,1
"GA",2003,21.115538,1,1,1
"GA",2004,21.115538,1,1,1
"GA",2005,21.513945,1,1,1
"GA",2006,22.310757,1,1,1
"GA",2007,23.904383,1,1,1
"GA",2008,23.904383,1,1,1
"GA",2009,23.505978,1,1,1
"GA",2010,23.015873,1,1,1
"HI",1970,0,0,0,0
"HI",1971,0,0,0,0
"HI",1972,0,0,0,0
"HI",1973,0,0,0,0
"HI",1974,0,0,0,0
"HI",1975,0,0,0,0
"HI",1976,0,0,0,0
"HI",1977,1.25,0,0,0
"HI",1978,1.25,0,0,0
"HI",1979,1.25,0,0,0
"HI",1980,1.25,0,0,0
"HI",1981,1.25,0,0,0
"HI",1982,1.25,0,0,0
"HI",1983,0,0,0,0
"HI",1984,0,0,0,0
"HI",1985,0,0,0,0
"HI",1986,0,0,0,0
"HI",1987,0,0,0,0
"HI",1988,0,0,0,0
"HI",1989,0,0,0,0
"HI",1990,0,0,0,0
"HI",1991,0,0,0,0
"HI",1992,0,1,0,0
"HI",1993,0,1,0,0
"HI",1994,0,1,0,0
"HI",1995,0,1,0,0
"HI",1996,0,1,0,0
"HI",1997,0,1,0,0
"HI",1998,0,1,0,0
"HI",1999,0,1,0,0
"HI",2000,0,1,0,0
"HI",2001,1.25,1,0,0
"HI",2002,1.25,1,0,0
"HI",2003,1.25,1,0,0
"HI",2004,1.25,1,0,0
"HI",2005,1.25,1,0,0
"HI",2006,1.25,1,0,0
"HI",2007,0,1,0,0
"HI",2008,0,1,0,0
"HI",2009,0,1,0,0
"HI",2010,0,1,0,0
"ID",1970,0,0,0,0
"ID",1971,0,0,0,0
"ID",1972,0,0,0,0
"ID",1973,0,0,0,0
"ID",1974,0,0,0,0
"ID",1975,0,0,0,0
"ID",1976,0,0,0,0
"ID",1977,0,0,0,0
"ID",1978,0,0,0,0
"ID",1979,0,0,0,0
"ID",1980,0,0,0,0
"ID",1981,0,0,0,0
"ID",1982,0,0,0,0
"ID",1983,0,0,0,0
"ID",1984,0,0,0,0
"ID",1985,0,0,0,0
"ID",1986,0,0,0,0
"ID",1987,0,0,0,0
"ID",1988,0,0,0,0
"ID",1989,0,0,0,0
"ID",1990,0,0,0,0
"ID",1991,0,0,0,0
"ID",1992,0,1,0,0
"ID",1993,0,1,0,0
"ID",1994,0,1,0,0
"ID",1995,0,1,0,0
"ID",1996,0,1,0,0
"ID",1997,0,1,0,0
"ID",1998,0,1,0,0
"ID",1999,0,1,0,0
"ID",2000,0,1,0,0
"ID",2001,0,1,0,0
"ID",2002,0,1,0,0
"ID",2003,0,1,0,0
"ID",2004,0,1,0,0
"ID",2005,0,1,0,0
"ID",2006,0,1,0,0
"ID",2007,0,1,0,0
"ID",2008,0,1,0,0
"ID",2009,0,1,0,0
"ID",2010,0,1,0,0
"IL",1970,5.7471266,0,0,0
"IL",1971,8.4291191,0,0,0
"IL",1972,8.0459776,0,0,0
"IL",1973,7.6335878,0,0,0
"IL",1974,8.0152664,0,0,0
"IL",1975,8.0152664,0,0,0
"IL",1976,7.6335878,0,0,0
"IL",1977,8.3969469,0,0,0
"IL",1978,8.3969469,0,0,0
"IL",1979,8.7786255,0,0,0
"IL",1980,8.8461542,0,0,0
"IL",1981,9.2307692,0,0,0
"IL",1982,9.2307692,0,0,0
"IL",1983,10.945274,0,0,0
"IL",1984,11.442785,0,0,0
"IL",1985,11.442785,0,0,0
"IL",1986,11.442785,0,0,0
"IL",1987,11.940298,0,0,0
"IL",1988,11.940298,0,0,0
"IL",1989,11.940298,0,0,0
"IL",1990,12.060302,0,0,0
"IL",1991,12.060302,0,0,0
"IL",1992,12.060302,1,0,0
"IL",1993,12.060302,1,0,0
"IL",1994,12.060302,1,0,0
"IL",1995,13.065327,1,0,0
"IL",1996,13.065327,1,0,0
"IL",1997,13.065327,1,0,0
"IL",1998,13.065327,1,0,0
"IL",1999,13.065327,1,0,0
"IL",2000,13.131313,1,0,0
"IL",2001,13.636364,1,0,0
"IL",2002,13.636364,1,0,0
"IL",2003,15.656565,1,0,0
"IL",2004,15.656565,1,0,0
"IL",2005,16.161615,1,0,0
"IL",2006,16.161615,1,0,0
"IL",2007,16.161615,1,0,0
"IL",2008,16.161615,1,0,0
"IL",2009,17.171717,1,0,0
"IL",2010,17.258883,1,0,0
"IN",1970,1.8404908,0,0,0
"IN",1971,1.2269938,0,0,0
"IN",1972,1.2269938,0,0,0
"IN",1973,4.2944784,0,0,0
"IN",1974,4.2944784,0,0,0
"IN",1975,3.6809816,0,0,0
"IN",1976,3.0674846,0,0,0
"IN",1977,3.6809816,0,0,0
"IN",1978,3.6809816,0,0,0
"IN",1979,4.2944784,0,0,0
"IN",1980,4.3209877,0,0,0
"IN",1981,4.3209877,0,0,0
"IN",1982,4.3209877,0,0,0
"IN",1983,5.5555558,0,0,0
"IN",1984,5.5555558,0,0,0
"IN",1985,4.9382715,0,0,0
"IN",1986,4.9382715,0,0,0
"IN",1987,4.9382715,0,0,0
"IN",1988,4.9382715,0,0,0
"IN",1989,4.9382715,0,0,0
"IN",1990,4.3209877,0,0,0
"IN",1991,4.9382715,0,0,0
"IN",1992,4.9382715,1,0,0
"IN",1993,6.790123,1,0,0
"IN",1994,6.790123,1,0,0
"IN",1995,7.4074073,1,0,0
"IN",1996,7.4074073,1,0,0
"IN",1997,8.0246906,1,0,0
"IN",1998,8.6419754,1,0,0
"IN",1999,8.6419754,1,0,0
"IN",2000,8.695652,1,0,0
"IN",2001,8.0745335,1,0,0
"IN",2002,8.0745335,1,0,0
"IN",2003,7.4534163,1,0,0
"IN",2004,8.0745335,1,0,0
"IN",2005,8.0745335,1,0,0
"IN",2006,8.0745335,1,0,0
"IN",2007,8.0745335,1,0,0
"IN",2008,8.0745335,1,0,0
"IN",2009,8.0745335,1,0,0
"IN",2010,8.0745335,1,0,0
"IA",1970,0.51813471,0,0,0
"IA",1971,0.63291138,0,0,0
"IA",1972,0.63291138,0,0,0
"IA",1973,0.63291138,0,0,0
"IA",1974,0.63291138,0,0,0
"IA",1975,1.2658228,0,0,0
"IA",1976,1.2658228,0,0,0
"IA",1977,1.2658228,0,0,0
"IA",1978,1.2658228,0,0,0
"IA",1979,0,0,0,0
"IA",1980,0,0,0,0
"IA",1981,0,0,0,0
"IA",1982,0,0,0,0
"IA",1983,0.63291138,0,0,0
"IA",1984,0.63291138,0,0,0
"IA",1985,0.63291138,0,0,0
"IA",1986,0.63291138,0,0,0
"IA",1987,0.63291138,0,0,0
"IA",1988,0.63291138,0,0,0
"IA",1989,0.63291138,0,0,0
"IA",1990,0.63694268,0,0,0
"IA",1991,0.63694268,0,0,0
"IA",1992,0.63694268,1,0,0
"IA",1993,0.63694268,1,0,0
"IA",1994,0.63694268,1,0,0
"IA",1995,0.63694268,1,0,0
"IA",1996,0.63694268,1,0,0
"IA",1997,0.63694268,1,0,0
"IA",1998,0.63694268,1,0,0
"IA",1999,0.63694268,1,0,0
"IA",2000,0.63694268,1,0,0
"IA",2001,0.63694268,1,0,0
"IA",2002,0.63694268,1,0,0
"IA",2003,1.9108281,1,0,0
"IA",2004,1.9108281,1,0,0
"IA",2005,1.9108281,1,0,0
"IA",2006,1.9108281,1,0,0
"IA",2007,2.5477707,1,0,0
"IA",2008,2.5477707,1,0,0
"IA",2009,3.8216562,1,0,0
"IA",2010,3.846154,1,0,0
"KS",1970,1.7441862,0,0,0
"KS",1971,1.7441862,0,0,0
"KS",1972,1.7441862,0,0,0
"KS",1973,2.9069769,0,0,0
"KS",1974,2.9069769,0,0,0
"KS",1975,3.4883723,0,0,0
"KS",1976,3.4883723,0,0,0
"KS",1977,3.4883723,0,0,0
"KS",1978,3.4883723,0,0,0
"KS",1979,2.9069769,0,0,0
"KS",1980,2.9069769,0,0,0
"KS",1981,2.9069769,0,0,0
"KS",1982,2.9069769,0,0,0
"KS",1983,2.3255813,0,0,0
"KS",1984,2.3255813,0,0,0
"KS",1985,2.3255813,0,0,0
"KS",1986,2.3255813,0,0,0
"KS",1987,2.3255813,0,0,0
"KS",1988,2.3255813,0,0,0
"KS",1989,2.3255813,0,0,0
"KS",1990,2.3391814,0,0,0
"KS",1991,2.3391814,0,0,0
"KS",1992,2.3391814,1,0,0
"KS",1993,3.5087719,1,0,0
"KS",1994,3.5087719,1,0,0
"KS",1995,4.0935674,1,0,0
"KS",1996,4.0935674,1,0,0
"KS",1997,4.0935674,1,0,0
"KS",1998,4.0935674,1,0,0
"KS",1999,4.0935674,1,0,0
"KS",2000,4.0935674,1,0,0
"KS",2001,4.0935674,1,0,0
"KS",2002,4.0935674,1,0,0
"KS",2003,4.0935674,1,0,0
"KS",2004,4.0935674,1,0,0
"KS",2005,4.0935674,1,0,0
"KS",2006,4.0935674,1,0,0
"KS",2007,4.0935674,1,0,0
"KS",2008,4.0935674,1,0,0
"KS",2009,4.0935674,1,0,0
"KS",2010,4.0935674,1,0,0
"KY",1970,2.0408163,0,0,0
"KY",1971,2.0408163,0,0,0
"KY",1972,2.0408163,0,0,0
"KY",1973,2.0408163,0,0,0
"KY",1974,2.0408163,0,0,0
"KY",1975,2.0408163,0,0,0
"KY",1976,2.0408163,0,0,0
"KY",1977,2.0408163,0,0,0
"KY",1978,2.7210884,0,0,0
"KY",1979,2.7210884,0,0,0
"KY",1980,2.7210884,0,0,0
"KY",1981,2.7210884,0,0,0
"KY",1982,2.7210884,0,0,0
"KY",1983,2.7210884,0,0,0
"KY",1984,2.7210884,0,0,0
"KY",1985,1.3605442,0,0,0
"KY",1986,1.3605442,0,0,0
"KY",1987,1.3605442,0,0,0
"KY",1988,1.3605442,0,0,0
"KY",1989,1.3605442,0,0,0
"KY",1990,1.369863,0,0,0
"KY",1991,2.0547945,0,0,0
"KY",1992,2.0547945,1,0,0
"KY",1993,2.7397261,1,0,0
"KY",1994,2.7397261,1,0,0
"KY",1995,3.4246576,1,0,0
"KY",1996,3.4246576,1,0,0
"KY",1997,3.4246576,1,0,0
"KY",1998,3.4246576,1,0,0
"KY",1999,3.4246576,1,0,0
"KY",2000,3.4246576,1,0,0
"KY",2001,3.4246576,1,0,0
"KY",2002,3.4246576,1,0,0
"KY",2003,4.1095891,1,0,0
"KY",2004,4.1095891,1,0,0
"KY",2005,4.1095891,1,0,0
"KY",2006,4.1095891,1,0,0
"KY",2007,4.7945204,1,0,0
"KY",2008,4.7945204,1,0,0
"KY",2009,4.7945204,1,0,0
"KY",2010,4.7945204,1,0,0
"LA",1970,0.64935064,0,1,0
"LA",1971,0.64935064,0,1,0
"LA",1972,5.1948051,0,1,0
"LA",1973,5.1948051,0,1,0
"LA",1974,5.1948051,0,1,0
"LA",1975,5.8441558,0,1,0
"LA",1976,6.4935064,0,1,0
"LA",1977,6.4935064,0,1,0
"LA",1978,6.4935064,0,1,0
"LA",1979,6.4935064,0,1,0
"LA",1980,7.7922077,0,1,0
"LA",1981,7.7922077,0,1,0
"LA",1982,7.7922077,0,1,0
"LA",1983,8.4415588,0,1,0
"LA",1984,8.4415588,0,1,0
"LA",1985,11.688312,0,1,0
"LA",1986,11.688312,0,1,0
"LA",1987,12.337663,0,1,0
"LA",1988,12.337663,0,1,0
"LA",1989,12.987013,0,1,0
"LA",1990,13.071897,0,1,0
"LA",1991,13.071897,0,1,0
"LA",1992,21.568628,1,1,1
"LA",1993,21.568628,1,1,1
"LA",1994,21.568628,1,1,1
"LA",1995,20.915033,1,1,1
"LA",1996,20.915033,1,1,1
"LA",1997,20.915033,1,1,1
"LA",1998,20.915033,1,1,1
"LA",1999,20.915033,1,1,1
