"Notes"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Baldwin County, AL"	"01003"	"2002"	"2002"	12	147957	Unreliable
	"Baldwin County, AL"	"01003"	"2009"	"2009"	12	179406	Unreliable
	"Calhoun County, AL"	"01015"	"1999"	"1999"	17	114910	Unreliable
	"Calhoun County, AL"	"01015"	"2000"	"2000"	13	112249	Unreliable
	"Calhoun County, AL"	"01015"	"2003"	"2003"	10	112705	Unreliable
	"Calhoun County, AL"	"01015"	"2004"	"2004"	10	113462	Unreliable
	"Calhoun County, AL"	"01015"	"2005"	"2005"	13	114477	Unreliable
	"Calhoun County, AL"	"01015"	"2006"	"2006"	16	115388	Unreliable
	"Calhoun County, AL"	"01015"	"2007"	"2007"	17	116211	Unreliable
	"Calhoun County, AL"	"01015"	"2008"	"2008"	18	117274	Unreliable
	"Calhoun County, AL"	"01015"	"2009"	"2009"	10	118363	Unreliable
	"Calhoun County, AL"	"01015"	"2011"	"2011"	20	117797	17.0
	"Calhoun County, AL"	"01015"	"2015"	"2015"	15	115620	Unreliable
	"Dallas County, AL"	"01047"	"2003"	"2003"	11	45170	Unreliable
	"Dallas County, AL"	"01047"	"2004"	"2004"	11	44795	Unreliable
	"Dallas County, AL"	"01047"	"2010"	"2010"	13	43820	Unreliable
	"Dallas County, AL"	"01047"	"2012"	"2012"	11	42864	Unreliable
	"Dallas County, AL"	"01047"	"2013"	"2013"	15	41996	Unreliable
	"Dallas County, AL"	"01047"	"2014"	"2014"	12	41711	Unreliable
	"Dallas County, AL"	"01047"	"2015"	"2015"	11	41131	Unreliable
	"Dallas County, AL"	"01047"	"2016"	"2016"	19	40008	Unreliable
	"Elmore County, AL"	"01051"	"2016"	"2016"	13	81799	Unreliable
	"Etowah County, AL"	"01055"	"2001"	"2001"	10	102976	Unreliable
	"Etowah County, AL"	"01055"	"2002"	"2002"	11	102988	Unreliable
	"Etowah County, AL"	"01055"	"2003"	"2003"	11	103025	Unreliable
	"Etowah County, AL"	"01055"	"2010"	"2010"	11	104430	Unreliable
	"Etowah County, AL"	"01055"	"2016"	"2016"	12	102564	Unreliable
	"Houston County, AL"	"01069"	"2004"	"2004"	10	92593	Unreliable
	"Jefferson County, AL"	"01073"	"1999"	"1999"	103	662845	15.5
	"Jefferson County, AL"	"01073"	"2000"	"2000"	116	662047	17.5
	"Jefferson County, AL"	"01073"	"2001"	"2001"	101	660197	15.3
