Uniform Crime Reporting Statistics - UCR Data Online
http://www.ucrdatatool.gov/
    
Estimated property crime rate
Year,United States-Total
1960,       1726.3
1961,       1747.9
1962,       1857.5
1963,       2012.1
1964,       2197.5
1965,       2248.8
1966,       2450.9
1967,       2736.5
1968,       3071.8
1969,       3351.3
1970,       3621.0
1971,       3768.8
1972,       3560.4
1973,       3737.0
1974,       4389.3
1975,       4810.7
1976,       4819.5
1977,       4601.7
1978,       4642.5
1979,       5016.6
1980,       5353.3
1981,       5256.5
1982,       5029.7
1983,       4641.1
1984,       4498.5
1985,       4666.4
1986,       4881.8
1987,       4963.0
1988,       5054.0
1989,       5107.1
1990,       5073.1
1991,       5140.2
1992,       4903.7
1993,       4740.0
1994,       4660.2
1995,       4590.5
1996,       4451.0
1997,       4316.3
1998,       4052.5
1999,       3743.6
2000,       3618.3
2001,       3658.1
2002,       3630.6
2003,       3591.2
2004,       3514.1
2005,       3431.5
2006,       3346.6
2007,       3276.4
2008,       3214.6
2009,       3041.3
2010,       2945.9
2011,       2905.4
2012,       2868.0
2013,       2733.3
2014,       2596.1

		
		,1. The figures shown in this column for the offense of rape were estimated using the legacy UCR definition of rape - previously known as "Forcible" rape.  See UCR Offense Definitions for further information.
		
		,2. The figures shown in this column for the offense of rape were estimated using the revised Uniform Crime Reporting (UCR) definition of rape. In December 2011 the UCR program changed its definition of SRS rape to this revised definition. This change can be seen in the UCR data starting in 2013. Prior to 2013 this column will be blank. See UCR Offense Definitions for further information.
		
		
		,Notes:,National or state offense totals are based on data from all reporting agencies and estimates for unreported areas.

"           Rates are the number of reported offenses per 100,000 population"  
 
,,"United States-Total - "
 
,,"The 168 murder and nonnegligent homicides that occurred as a result of the bombing of the Alfred P. Murrah Federal Building in Oklahoma City in 1995 are included in the national estimate." 
,,"The 2,823 murder and nonnegligent homicides that occurred as a result of the events of September 11, 2001, are not included in the national estimates." 

"Sources: FBI, Uniform Crime Reports, prepared by the National Archive of Criminal Justice Data" 
Date of download: Oct 16 2018
