"year","yhat","sumcat","facet","y"
1968,41.8515308807169,"Black Elected Officials","Estimated",NA
1969,39.05548510438,"Black Elected Officials","Estimated",NA
1970,36.6467170463341,"Black Elected Officials","Estimated",NA
1971,34.8237350775168,"Black Elected Officials","Estimated",NA
1972,33.4835674329717,"Black Elected Officials","Estimated",NA
1973,32.4747962636787,"Black Elected Officials","Estimated",NA
1974,31.6460037206176,"Black Elected Officials","Estimated",NA
1975,31.1595092221892,"Black Elected Officials","Estimated",NA
1976,31.2293774404628,"Black Elected Officials","Estimated",NA
1977,31.7818084069204,"Black Elected Officials","Estimated",NA
1978,32.7430021530442,"Black Elected Officials","Estimated",NA
1979,34.0391587103163,"Black Elected Officials","Estimated",NA
1980,35.5964781102188,"Black Elected Officials","Estimated",NA
1981,37.3411603842339,"Black Elected Officials","Estimated",NA
1982,39.1994055638437,"Black Elected Officials","Estimated",NA
1983,41.0974136805304,"Black Elected Officials","Estimated",NA
1984,42.9613847657761,"Black Elected Officials","Estimated",NA
1985,44.7175188510628,"Black Elected Officials","Estimated",NA
1986,46.2920159678728,"Black Elected Officials","Estimated",NA
1987,46.853297186258,"Black Elected Officials","Estimated",NA
1988,47.1821476220448,"Black Elected Officials","Estimated",NA
1989,48.4763470626051,"Black Elected Officials","Estimated",NA
1990,49.5508846191201,"Black Elected Officials","Estimated",NA
1991,50.2327519591751,"Black Elected Officials","Estimated",NA
1992,50.9510553792888,"Black Elected Officials","Estimated",NA
1993,51.3795269087184,"Black Elected Officials","Estimated",NA
1994,51.1918985767209,"Black Elected Officials","Estimated",NA
1995,49.7955428294517,"Black Elected Officials","Estimated",NA
1996,46.7612754236376,"Black Elected Officials","Estimated",NA
1997,45.658903972908,"Black Elected Officials","Estimated",NA
1998,44.4347951859273,"Black Elected Officials","Estimated",NA
1999,43.2038039694943,"Black Elected Officials","Estimated",NA
2000,42.0807852304078,"Black Elected Officials","Estimated",NA
2001,41.1805938754667,"Black Elected Officials","Estimated",NA
2002,40.6180848114697,"Black Elected Officials","Estimated",NA
