"facet","y","mname","x","dv","dvlag","ivspec","iv","term","mu","mu.min","mu.max","se","pval","t","type","pval.class","seq","bic","aic","r2","adjr2","sampname","N","N.states","range","pref","prefbic","dvsd","musd","musd.min","musd.max","approach","mod","spec","method","pval.shp","pval.fill","ydisp","order"
"D-in-D","Aggregation","imprt_t_jur.controls.aggregation","Inc.","imprt_t_jur",NA,NA,"t.post.t","t.post.t",159.670099415185,NA,NA,NA,NA,NA,"t.based","at alpha=0.01",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,120.990022072633,1.31969642355575,NA,NA,"dd",NA,"controls","aggregation","at alpha=0.01","+ /at alpha=0.01","Aggregation",3
"D-in-D","Aggregation","officers_pcap.controls.aggregation","Off.","officers_pcap",NA,NA,"t.post.t","t.post.t",20.3078022063758,NA,NA,NA,NA,NA,"t.based","at alpha=0.01",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,19.5519518596598,1.03865856218046,NA,NA,"dd",NA,"controls","aggregation","at alpha=0.01","+ /at alpha=0.01","Aggregation",3
"D-in-D","Bivariate","imprt_t_jur.simple.normal","Inc.","imprt_t_jur",NA,NA,"t.post.t","t.post.t",146.914928605321,67.9101306390816,225.91972657156,40.3085703909384,0.000291012860368809,3.6447566157878,"shortrun","at alpha=0.01",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,120.990022072633,1.21427309532289,0.561287034052392,1.86725915659339,"dd",NA,"simple","normal","at alpha=0.01","+ /at alpha=0.01","Bivariate",1
"D-in-D","Bivariate","officers_pcap.simple.normal","Off.","officers_pcap",NA,NA,"t.post.t","t.post.t",27.8091396392996,16.9164887633609,38.7017905152383,5.5574749367034,7.14667217309825e-07,5.00391633899036,"shortrun","at alpha=0.01",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,19.5519518596598,1.42232038207276,0.865207161146071,1.97943360299945,"dd",NA,"simple","normal","at alpha=0.01","+ /at alpha=0.01","Bivariate",1
"D-in-D","Bootstrap","officers_pcap.controls.bootstrap","Off.","officers_pcap",NA,NA,"t.post.t","t.post.t",23.1083609278914,NA,NA,NA,NA,NA,"t.based","at alpha=0.01",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,19.5519518596598,1.18189534700979,NA,NA,"dd",NA,"controls","bootstrap","at alpha=0.01","+ /at alpha=0.01","Bootstrap",4
"D-in-D","Bootstrap","imprt_t_jur.controls.bootstrap","Inc.","imprt_t_jur",NA,NA,"t.post.t","t.post.t",125.088136166037,NA,NA,NA,NA,NA,"t.based","at alpha=0.01",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,120.990022072633,1.03387150463485,NA,NA,"dd",NA,"controls","bootstrap","at alpha=0.01","+ /at alpha=0.01","Bootstrap",4
"D-in-D","Division X Time","imprt_t_jur.divtrend.normal","Inc.","imprt_t_jur",NA,NA,"t.post.t","t.post.t",82.0821462833499,30.1286053483466,134.035687218353,26.5069086403078,0.00208791096626722,3.09663217982845,"shortrun","at alpha=0.01",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,120.990022072633,0.678420789394304,0.249017272930653,1.10782430585795,"dd",NA,"divtrend","normal","at alpha=0.01","+ /at alpha=0.01","Division X Time",6
"D-in-D","Division X Time","officers_pcap.divtrend.normal","Off.","officers_pcap",NA,NA,"t.post.t","t.post.t",18.8481615979116,6.41237367563294,31.2839495201903,6.34478975626463,0.00311291826964504,2.97065187688868,"shortrun","at alpha=0.01",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,19.5519518596598,0.964004091929037,0.327965909575664,1.60004227428241,"dd",NA,"divtrend","normal","at alpha=0.01","+ /at alpha=0.01","Division X Time",6
"D-in-D","FEs Only","officers_pcap.fes.normal","Off.","officers_pcap",NA,NA,"t.post.t","t.post.t",27.8091396393004,16.4336442364654,39.1846350421354,5.80382418511988,2.06701508855554e-06,4.79151999652208,"shortrun","at alpha=0.01",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,19.5519518596598,1.4223203820728,0.840511696961151,2.00412906718445,"dd",NA,"fes","normal","at alpha=0.01","+ /at alpha=0.01","FEs Only",2
"D-in-D","FEs Only","imprt_t_jur.fes.normal","Inc.","imprt_t_jur",NA,NA,"t.post.t","t.post.t",146.91492860532,64.296230801504,229.533626409135,42.1523968386814,0.000531117038963037,3.48532799137301,"shortrun","at alpha=0.01",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,120.990022072633,1.21427309532288,0.531417630148919,1.89712856049684,"dd",NA,"fes","normal","at alpha=0.01","+ /at alpha=0.01","FEs Only",2
"D-in-D","First Differences","officers_pcap.diff.normal","Off.","officers_pcap",NA,NA,"t.post.t","t.post.t",-2.12049434545943,-4.90029884108774,0.65931015016889,1.41826759981037,0.135390974458314,-1.49512993580545,"shortrun","not sig",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,19.5519518596598,-0.108454355896533,-0.250629649472398,0.0337209376793321,"dd",NA,"diff","normal","not sig","- /","First Differences",8
"D-in-D","First Differences","imprt_t_jur.diff.normal","Inc.","imprt_t_jur",NA,NA,"t.post.t","t.post.t",7.96426691247683,-8.92143698540682,24.8499708103605,8.61515504994064,0.355670415530835,0.924448470899163,"shortrun","not sig",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,120.990022072633,0.0658258158486466,-0.0737369646899567,0.20538859638725,"dd",NA,"diff","normal","not sig","+ /","First Differences",8
"D-in-D","Lag DV","officers_pcap.lags.normal","Off.","officers_pcap",NA,NA,"t.post.t","t.post.t",7.67865388865619,3.2117895904227,12.1455181868897,2.2790123970579,0.000800597205063327,3.36929009187004,"shortrun","at alpha=0.01",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,19.5519518596598,0.392730809883949,0.164269511989203,0.621192107778696,"dd",NA,"lags","normal","at alpha=0.01","+ /at alpha=0.01","Lag DV",9
"D-in-D","Lag DV","imprt_t_jur.lags.normal","Inc.","imprt_t_jur",NA,NA,"t.post.t","t.post.t",15.5387466949387,-10.841714245516,41.9192076353935,13.4594188471708,0.248817229424293,1.15448867974006,"shortrun","not sig",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,120.990022072633,0.128429984793378,-0.0896083334789998,0.346468303065756,"dd",NA,"lags","normal","not sig","+ /","Lag DV",9
"D-in-D","RD X Districts","imprt_t_jur.newds.normal","Inc.","imprt_t_jur",NA,NA,"t.post.t","t.post.t:newds",73.3991968530122,29.9015678609647,116.89682584506,22.1926678530855,0.00100517959005912,3.30736247389957,"shortrun","at alpha=0.01",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,120.990022072633,0.606654958777915,0.247140775319589,0.966169142236241,"dd",NA,"newds","normal","at alpha=0.01","+ /at alpha=0.01","RD X Districts",5
