"year","incrate_cp","imprate_cp","allrate_cp"
2015,NA,NA,NA
2014,NA,NA,NA
2013,497.553960381448,728.585146529942,746
2012,499.94734681931,736.972298148943,755
2011,512.948681084796,748.928775016807,769
2010,521.675326462022,763.708218888819,787
2009,526.609495107351,776.7741705913,802
2008,528.875998808868,787.195165852124,814
2007,530.103775071352,789.098853227382,818
2006,525.731102166154,782.390136236785,813
2005,516.352721019235,769.309408572342,801
2004,511.294710248037,755.139341775161,788
2003,506.225040043976,744.516007426795,778
2002,500.703010393113,732.07182515476,767
2001,492.696827273694,714.20867581874,751
2000,494.125349673171,714.264168943467,752
1999,500.085054203861,722.293860336248,762
1998,483.685720334444,702.91472237077,742
1997,463.308047082957,675.075677802786,714
1996,445.624689333998,641.113431776121,681
1995,428.407901581866,621.344613679778,663
1994,405.14503486751,592.015378995175,632
1993,376.014893914022,554.383793029202,593
1992,346.038129465071,520.364492921273,558
1991,327.40387732386,496.538824913557,534
1990,310.232246528679,472.708337906464,510
1989,288.617706164953,448.877909553482,487
1988,256.688185311136,397.20778878335,435
1987,241.481948423246,363.597727569199,401
1986,226.946007607863,341.234393271589,378
1985,211.205020498265,319.060983370747,354
1984,195.908912113107,295.34709612643,330
1983,186.856270193752,282.47588324175,317
1982,178.622997922279,269.090910786151,303
1981,161.213626886324,232.681384374487,266
1980,145.151925639627,216.092282686492,249
1979,139.724209434627,210.726255254554,243
1978,138.049117471296,209.210392392697,242
1977,126.290286128381,196.938400107065,231
1976,120.546151904195,190.624756289311,225
1975,112.398205482894,181.849878512009,216
1974,102.156645913934,170.987740753586,207
1973,96.367405017672,164.509458663885,201
1972,93.4234003416387,160.885374763726,197
1971,95.2698425422161,168.096341128658,205
1970,95.7946439524216,174.244434004391,212
1969,96.7090751406921,174.045942057959,211
1968,97.38221546005,173.426260210629,210
1967,98.0796051951674,172.81336971321,208
1966,101.573899409961,175.030224052627,210
1965,108.539260927277,180.729101902579,215
1964,111.698030345087,182.649543088736,216
1963,114.817657777697,184.585014352907,218
1962,117.418600398267,185.98863992866,218
1961,119.939149491641,187.329318772273,219
1960,117.86773404087,184.104648291456,215
1959,116.692028394728,183.416567682411,215
1958,117.589639234486,183.280827043146,214
1957,113.623274426542,178.249004719214,209
1956,112.233036244329,175.851195944494,206
1955,111.962064856253,174.522330043749,204
1954,112.191407382537,173.662025411012,203
1953,108.36212851765,168.716398681837,197
1952,106.778847514807,165.938719948634,194
1951,106.9745985497,164.962217427951,192
1950,109.096640244702,165.897845424266,193
1949,109.487262827143,168.317680501793,195
1948,105.770049017228,166.495827746248,194
1947,105.854547301161,168.521210850187,196
1946,99.9656506877649,164.748116902183,192
1945,95.5125796154048,161.883063356116,189
1944,96.9852420218032,165.011113471866,192
1943,101.438976385971,171.222837364164,198
1942,111.071849689432,182.774593654481,209
1941,123.437743518259,196.879411626491,223
1940,131.47349694086,206.592451368937,233
1939,131.132617507626,201.746308774901,228
1938,123.462411178179,189.388111324281,215
1937,118.564876961723,179.700607248623,205
1936,113.263879897399,169.433511920594,195
1935,113.304312089584,164.460996817672,189
1934,111.032532042863,157.138617678211,182
1933,108.943579894954,149.902734748231,175
1932,110.53867299171,149.873673578178,174
1931,110.296991490979,148.008320694364,172
1930,104.853280117321,140.966521042347,165
1929,97.9649658774545,132.5539760362,157
1928,91.6985453368628,124.715166502087,150
1927,82.9369513168396,114.405006930735,140
1926,82.0762029694115,111.999454841265,137
1925,77.2086437766017,105.525386561224,131
1924,75.098370855936,101.800909656556,128
1923,73.2123236888885,98.3492188267662,125
1922,73.5554162236822,99.2621468618524,126
1921,73.6451749617645,99.8479795094806,126
1920,74.1313720517373,100.986276664694,127
1919,74.544080218918,102.042788525939,128
1918,74.5048833423766,102.496899465158,129
1917,73.4816206375644,101.603594530736,127
1916,73.4310177420779,102.060591794902,128
1915,73.4579197581207,102.639587850337,128
1914,73.4984007829605,103.253927414717,129
1913,73.883260478272,104.370275134996,130
1912,74.286463523365,105.535217915771,131
1911,74.3711579642671,106.269776163131,131
1910,74.4478232168559,107.011373597238,132
1909,72.7538954580617,106.173057796442,133
1908,73.0222071919738,107.281028068989,135
1907,73.2369437293122,108.338313718279,136
1906,73.3364540667057,109.254534815682,137
1905,73.499797189282,110.294433442294,138
1904,73.6959326241998,111.41469707665,139
1903,73.7411945629527,112.363577735886,140
1902,73.726362063085,113.254929702007,141
1901,73.816766343576,114.343163538874,142
1900,73.8244802481142,115.341551239257,143
1899,73.7690553932857,116.279809474359,143
1898,73.6832294270185,117.210477706909,144
1897,73.5686176219879,118.135680292733,144
1896,73.4227607695126,119.053477862355,145
1895,73.2430617604813,119.963248462107,146
1894,73.0312000739704,120.864354357452,146
1893,72.7845384733256,121.756129069928,147
1892,72.5018268787795,122.637890495578,147
1891,72.1802193635502,123.507371272662,148
1890,71.8214799337298,124.366927625612,148
1889,71.1040111053238,123.090373025942,147
1888,70.3140678414611,121.687966976348,145
1887,69.4520636539951,120.157968133229,144
1886,68.511664718174,118.491813496793,142
1885,67.493244583612,116.687577548708,140
1884,66.3919358934358,114.736196812852,138
1883,65.2026086701769,112.633686194145,136
1882,63.9255683537858,110.376040908708,133
1881,62.5535591477344,107.953388210337,131
1880,61.0868364153737,105.363286359026,128
