"race","income","year","count","rate","number","class"
"hispanic","15000 to 24999","y2010",40889,9.5,4304105.26315789,"middle"
"hispanic","15000 to 24999","y2011",33013,7.4,4461216.21621622,"middle"
"hispanic","15000 to 24999","y2012",33297,6.8,4896617.64705882,"middle"
"hispanic","15000 to 24999","y2013",64839,13.9,4664676.25899281,"middle"
"hispanic","15000 to 24999","y2014",22466,5.2,4320384.61538462,"middle"
"hispanic","15000 to 24999","y2015",24164,5.5,4393454.54545455,"middle"
"hispanic","25000 to 34999","y2010",13168,3,4389333.33333333,"middle"
"hispanic","25000 to 34999","y2011",33511,7.5,4468133.33333333,"middle"
"hispanic","25000 to 34999","y2012",44052,8.2,5372195.12195122,"middle"
"hispanic","25000 to 34999","y2013",49644,8.4,5910000,"middle"
"hispanic","25000 to 34999","y2014",71537,13.4,5338582.08955224,"middle"
"hispanic","25000 to 34999","y2015",36252,6.4,5664375,"middle"
"hispanic","35000 to 49999","y2010",32584,6.8,4791764.70588235,"middle"
"hispanic","35000 to 49999","y2011",28086,5.4,5201111.11111111,"middle"
"hispanic","35000 to 49999","y2012",37864,7,5409142.85714286,"middle"
"hispanic","35000 to 49999","y2013",46819,7.7,6080389.61038961,"middle"
"hispanic","35000 to 49999","y2014",32446,5.2,6239615.38461538,"middle"
"hispanic","35000 to 49999","y2015",32924,5.3,6212075.47169811,"middle"
"hispanic","50000 to 74999","y2010",20997,5.4,3888333.33333333,"middle"
"hispanic","50000 to 74999","y2011",22888,5.4,4238518.51851852,"middle"
"hispanic","50000 to 74999","y2012",68288,14.7,4645442.17687075,"middle"
"hispanic","50000 to 74999","y2013",17562,3.8,4621578.94736842,"middle"
"hispanic","50000 to 74999","y2014",12789,2.9,4410000,"middle"
"hispanic","50000 to 74999","y2015",19392,4.1,4729756.09756098,"middle"
"hispanic","7500 to 14999","y2010",20424,7.7,2652467.53246753,"poor"
"hispanic","7500 to 14999","y2011",28345,10.9,2600458.71559633,"poor"
"hispanic","7500 to 14999","y2012",25953,8.7,2983103.44827586,"poor"
"hispanic","7500 to 14999","y2013",25640,9.4,2727659.57446809,"poor"
"hispanic","7500 to 14999","y2014",82008,28.9,2837647.05882353,"poor"
"hispanic","7500 to 14999","y2015",26787,10.1,2652178.21782178,"poor"
"hispanic","75000 or more","y2010",10468,2.3,4551304.34782609,"rich"
"hispanic","75000 or more","y2011",32100,6.5,4938461.53846154,"rich"
"hispanic","75000 or more","y2012",42085,7.9,5327215.18987342,"rich"
"hispanic","75000 or more","y2013",10983,2.1,5230000,"rich"
"hispanic","75000 or more","y2014",24729,4.3,5750930.23255814,"rich"
"hispanic","75000 or more","y2015",26830,4.1,6543902.43902439,"rich"
"hispanic","less than 7500","y2010",43836,33,1328363.63636364,"poor"
"hispanic","less than 7500","y2011",44879,30.1,1490996.67774086,"poor"
"hispanic","less than 7500","y2012",19686,13.8,1426521.73913043,"poor"
"hispanic","less than 7500","y2013",31343,19.9,1575025.12562814,"poor"
"hispanic","less than 7500","y2014",28995,16.5,1757272.72727273,"poor"
"hispanic","less than 7500","y2015",21640,15.7,1378343.94904459,"poor"
"black","15000 to 24999","y2010",51746,15.4,3360129.87012987,"middle"
"black","15000 to 24999","y2011",35182,11.6,3032931.03448276,"middle"
"black","15000 to 24999","y2012",41580,12.6,3300000,"middle"
"black","15000 to 24999","y2013",29415,9.1,3232417.58241758,"middle"
"black","15000 to 24999","y2014",31161,9.8,3179693.87755102,"middle"
"black","15000 to 24999","y2015",47269,14.7,3215578.23129252,"middle"
"black","25000 to 34999","y2010",29105,10.1,2881683.16831683,"middle"
"black","25000 to 34999","y2011",34372,11.4,3015087.71929825,"middle"
"black","25000 to 34999","y2012",31346,8.7,3602988.50574713,"middle"
"black","25000 to 34999","y2013",14767,4,3691750,"middle"
"black","25000 to 34999","y2014",64894,17.5,3708228.57142857,"middle"
"black","25000 to 34999","y2015",28908,8,3613500,"middle"
"black","35000 to 49999","y2010",45961,12.7,3618976.37795276,"middle"
"black","35000 to 49999","y2011",12833,3.8,3377105.26315789,"middle"
"black","35000 to 49999","y2012",41012,10.8,3797407.40740741,"middle"
"black","35000 to 49999","y2013",14831,4.2,3531190.47619048,"middle"
"black","35000 to 49999","y2014",35184,9.4,3742978.72340426,"middle"
"black","35000 to 49999","y2015",15150,3.8,3986842.10526316,"middle"
"black","50000 to 74999","y2010",15467,5.7,2713508.77192982,"middle"
"black","50000 to 74999","y2011",4439,1.6,2774375,"middle"
"black","50000 to 74999","y2012",19764,6.4,3088125,"middle"
"black","50000 to 74999","y2013",10907,3.4,3207941.17647059,"middle"
"black","50000 to 74999","y2014",22605,6.9,3276086.95652174,"middle"
"black","50000 to 74999","y2015",2346,0.7,3351428.57142857,"middle"
"black","7500 to 14999","y2010",24760,12,2063333.33333333,"poor"
"black","7500 to 14999","y2011",55765,22.7,2456607.92951542,"poor"
"black","7500 to 14999","y2012",55950,20.7,2702898.55072464,"poor"
"black","7500 to 14999","y2013",52276,19.2,2722708.33333333,"poor"
"black","7500 to 14999","y2014",15790,6,2631666.66666667,"poor"
"black","7500 to 14999","y2015",48896,21.1,2317345.97156398,"poor"
"black","75000 or more","y2010",17580,5.2,3380769.23076923,"rich"
"black","75000 or more","y2011",NA,NA,NA,"rich"
"black","75000 or more","y2012",NA,NA,NA,"rich"
"black","75000 or more","y2013",14384,3.6,3995555.55555556,"rich"
"black","75000 or more","y2014",37439,9,4159888.88888889,"rich"
"black","75000 or more","y2015",7522,1.9,3958947.36842105,"rich"
"black","less than 7500","y2010",55825,28.4,1965669.01408451,"poor"
"black","less than 7500","y2011",35747,17.8,2008258.42696629,"poor"
"black","less than 7500","y2012",49519,21.8,2271513.76146789,"poor"
"black","less than 7500","y2013",49713,21.5,2312232.55813953,"poor"
"black","less than 7500","y2014",30427,16.6,1832951.80722892,"poor"
"black","less than 7500","y2015",27453,14.7,1867551.02040816,"poor"
"other","15000 to 24999","y2010",13245,12.1,1094628.09917355,"middle"
"other","15000 to 24999","y2011",6881,6.1,1128032.78688525,"middle"
