race,income,,1993,,1994,,1995,,1996,,1997,,1998,,,,,,,,,,,,,,,,
total,total,,,6131961,,,,5763108,,,,4808212,,,,4739891,,,,4637783,,,,3680239,,,,,
Non-Hispanic white,total,,,4087906,,,,3757641,,,,3128429,,,,3210246,,,,3283403,,,,2473838,,,,,
,"Less than $7,500",,,578935,,,,455648,,,,319264,,,,375880,,,,287982,,,,227083,,,,,
,"$7,500 to $14,999",,,474021,,,,456307,,,,353002,,,,431076,,,,403409,,,,320366,,,,,
,"$15,000 to $24,999",,,687281,,,,595833,,,,407536,,,,453279,,,,547337,,,,290884,,,,,
,"$25,000 to $34,999",,,521604,,,,549880,,,,497142,,,,405659,,,,440168,,,,379525,,,,,
,"$35,000 to $49,999",,,722917,,,,553907,,,,571893,,,,518535,,,,551950,,,,270169,,,,,
,"$50,000 to $74,999",,,541570,,,,429060,,,,488479,,,,376046,,,,441922,,,,377133,,,,,
,"$75,000 or more",,,298947,,,,347970,,,,284232,,,,303670,,,,353346,,,,345520,,,,,
,Unknown,,,262631,,,,369037,,,,206882,,,,346102,,,,257289,,,,263157,,,,,
Non-Hispanic black,total,,,1094211,,,,1047383,,,,791064,,,,765232,,,,725274,,,,648143,,,,,
,"Less than $7,500",,,259615,,,,298475,,,,234252,,,,148219,,,,147957,,,,132897,,,,,
,"$7,500 to $14,999",,,314105,,,,181117,,,,154102,,,,118572,,,,91360,,,,100429,,,,,
,"$15,000 to $24,999",,,200003,,,,181938,,,,176842,,,,120240,,,,181648,,,,85729,,,,,
,"$25,000 to $34,999",,,71829,,,,79486,,,,80858,,,,95130,,,,35547,,!,,,52789,,,,
,"$35,000 to $49,999",,,63250,,,,70380,,,,40331,,,,76347,,,,85492,,!,,,67389,,,,
,"$50,000 to $74,999",,,40362,,!,,,87970,,,,16782,,!,,,47823,,,,32446,,!,,,61301,,
,"$75,000 or more",,,20517,,!,,,29862,,!,,,21333,,!,,,8552,,!,,,26943,,!,,,13671
,Unknown,,,124530,,,,118154,,,,66562,,,,150351,,,,123881,,,,133938,,,,,
Non-Hispanic other,total,,,251249,,,,174040,,,,216130,,,,188761,,,,97121,,,,185506,,,,,
,"Less than $7,500",,,19676,,!,,,21351,,!,,,46129,,!,,,34357,,!,,,10703,,!,,,11067
,"$7,500 to $14,999",,,57132,,,,42490,,,,12705,,!,,,74347,,,,33438,,,,14184,,!,,
,"$15,000 to $24,999",,,77645,,!,,,22280,,!,,,42129,,!,,,11698,,!,,,16820,,!,,,14539
,"$25,000 to $34,999",,,21931,,!,,,28676,,!,,,43425,,!,,,17431,,!,,,6838,,!,,,43817
,"$35,000 to $49,999",,,17600,,!,,,21798,,!,,,12966,,!,,,13232,,!,,,2351,,!,,,7473
,"$50,000 to $74,999",,,33329,,!,,,9351,,!,,,33153,,!,,,13844,,!,,,8625,,!,,,10155
,"$75,000 or more",,,17238,,!,,,2596,,!,,,4908,,!,,,19169,,!,,,2301,,!,,,40135
,Unknown,,,6698,,!,,,25498,,,,20716,,!,,,4683,,!,,,16045,,!,,,44136,
Hispanic,total,,,698595,,,,784045,,,,672589,,,,575652,,,,531985,,,,372752,,,,,
,"Less than $7,500",,,153536,,,,170270,,,,124223,,,,86446,,,,115649,,,,20908,,!,,,
,"$7,500 to $14,999",,,134174,,,,158729,,,,108776,,,,50351,,,,114801,,,,71098,,,,,
,"$15,000 to $24,999",,,156127,,,,123042,,,,131444,,,,179690,,,,74750,,,,84939,,,,,
,"$25,000 to $34,999",,,36239,,,,88311,,,,76182,,,,58738,,,,75005,,,,46437,,,,,
,"$35,000 to $49,999",,,54469,,!,,,104905,,,,88257,,,,43419,,,,53023,,,,25906,,!,,
,"$50,000 to $74,999",,,58111,,,,45708,,!,,,79343,,,,90238,,,,37109,,,,18908,,!,,
,"$75,000 or more",,,28410,,!,,,19936,,!,,,17661,,!,,,12913,,!,,,2846,,!,,,45260
,Unknown,,,77530,,,,73143,,,,46704,,,,53858,,,,58803,,,,59295,,,,,
