race,income,,1999,,2000,,2001,,2002,,2003,,2004,,2005,,2006,,2007,,2008,,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total,total,,,3572439,,,,2817607,,,,2527981,,,,2306715,,,,2395954,,,,2290845,,,,2258400,,,,3149814,,,,2242721,,,,1998697,,,,1969921,,,,,,,,,,
Non-Hispanic white,total,,,2301262,,,,1882507,,,,1614553,,,,1427390,,,,1593950,,,,1531647,,,,1305617,,,,1877727,,,,1311856,,,,1214045,,,,1065919,,,,,,,,,,
,"Less than $7,500",,,157402,,,,222042,,,,177917,,,,100179,,,,122842,,,,195695,,,,69607,,,,139485,,,,81444,,,,62670,,,,57687,,,,,,,,,,
,"$7,500 to $14,999",,,297290,,,,145370,,,,150168,,,,129828,,,,163653,,,,94378,,,,102529,,,,108289,,,,199116,,,,165153,,,,88919,,,,,,,,,,
,"$15,000 to $24,999",,,535924,,,,214527,,,,217250,,,,167169,,,,121413,,,,174757,,,,241324,,,,229826,,,,123590,,,,136358,,,,74816,,,,,,,,,,
,"$25,000 to $34,999",,,225639,,,,231480,,,,139988,,,,222397,,,,246683,,,,100310,,,,115223,,,,318594,,,,89701,,,,98397,,,,63128,,,,,,,,,,
,"$35,000 to $49,999",,,286470,,,,289545,,,,259924,,,,191793,,,,220942,,,,197092,,,,163649,,,,203726,,,,160969,,,,109551,,,,118415,,,,,,,,,,
,"$50,000 to $74,999",,,339177,,,,224376,,,,185741,,,,153667,,,,199307,,,,239348,,,,170776,,,,380034,,,,143391,,,,174828,,,,198024,,,,,,,,,,
,"$75,000 or more",,,196870,,,,268531,,,,223085,,,,188056,,,,247091,,,,289766,,,,232895,,,,250797,,,,206264,,,,205729,,,,212541,,,,,,,,,,
,Unknown,,,262489,,,,286636,,,,260479,,,,274299,,,,272018,,,,240301,,,,209615,,,,246976,,,,307381,,,,261359,,,,252390,,,,,,,,,,
Non-Hispanic black,total,,,749095,,,,444325,,,,461125,,,,504607,,,,347315,,,,450444,,,,428986,,,,659555,,,,548362,,,,358538,,,,497586,,,,,,,,,,
,"Less than $7,500",,,141727,,,,81589,,,,106903,,,,54922,,,,56178,,,,18679,,!,,,44272,,!,,,120979,,,,72299,,,,44233,,,,75344,,,,,,,,
,"$7,500 to $14,999",,,153523,,,,78295,,,,63240,,,,104556,,,,49782,,,,63171,,,,23774,,!,,,79430,,,,63362,,,,43761,,!,,,52556,,,,,,,,
,"$15,000 to $24,999",,,128527,,,,54201,,,,154378,,,,151640,,,,50583,,,,117108,,,,138049,,,,160940,,,,36010,,,,28182,,!,,,53408,,,,,,,,,
,"$25,000 to $34,999",,,59220,,,,57290,,,,17794,,!,,,18097,,!,,,54446,,,,47805,,,,68980,,,,38524,,!,,,177358,,!,,,42081,,!,,,70051,,!,,,
,"$35,000 to $49,999",,,90701,,,,30824,,!,,,27774,,!,,,59496,,,,23489,,!,,,60971,,!,,,55824,,,,30271,,!,,,21281,,!,,,9769,,!,,,39057,,!,
,"$50,000 to $74,999",,,50081,,,,72932,,,,16555,,!,,,16686,,!,,,38184,,,,47396,,!,,,28112,,!,,,62990,,!,,,17798,,!,,,22712,,!,,,27742,,!,
,"$75,000 or more",,,48318,,!,,,23277,,!,,,11639,,!,,,19375,,!,,,20220,,!,,,17672,,!,,,21760,,!,,,12903,,!,,,9176,,!,,,14519,,!,,,34153
,Unknown,,,76996,,,,45917,,,,62842,,,,79836,,,,54432,,,,77641,,,,48216,,,,153518,,,,151079,,,,153282,,,,145275,,,,,,,,,,
