race,income,,1993,,1994,,1995,,1996,,1997,,1998,,,,,,,,,,,,,,,,
total,total,,,29.1,,,,27,,,,22.4,,,,21.8,,,,21.1,,,,16.6,,,,,
Non-Hispanic white,total,,,25.3,,,,23.2,,,,19.2,,,,19.6,,,,20,,,,15,,,,,
,"Less than $7,500",,,54.9,,,,46.5,,,,34.9,,,,47.2,,,,42.4,,,,36.4,,,,,
,"$7,500 to $14,999",,,26.9,,,,26.8,,,,21.8,,,,28.1,,,,28.1,,,,24.8,,,,,
,"$15,000 to $24,999",,,27.9,,,,24.4,,,,17.8,,,,20.8,,,,26.3,,,,14.4,,,,,
,"$25,000 to $34,999",,,20.7,,,,23.1,,,,21.4,,,,18.1,,,,20.3,,,,18.2,,,,,
,"$35,000 to $49,999",,,25.8,,,,19.6,,,,19.8,,,,18.1,,,,19.7,,,,10.1,,,,,
,"$50,000 to $74,999",,,23.3,,,,17.9,,,,19.8,,,,14.3,,,,16.3,,,,13.7,,,,,
,"$75,000 or more",,,19.7,,,,21.3,,,,15.2,,,,14.4,,,,15,,,,13.5,,,,,
,Unknown,,,15.1,,,,19.9,,,,10.7,,,,17.4,,,,11.9,,,,10.7,,,,,
Non-Hispanic black,total,,,44.2,,,,41.7,,,,31.4,,,,30.2,,,,27.6,,,,24.4,,,,,
,"Less than $7,500",,,50.1,,,,63.5,,,,55.2,,,,37.9,,,,42.3,,,,41.7,,,,,
,"$7,500 to $14,999",,,66.7,,,,40.5,,,,35.4,,,,27.8,,,,21,,,,26.1,,,,,
,"$15,000 to $24,999",,,47.1,,,,42.4,,,,41.4,,,,28.7,,,,43.5,,,,20.5,,,,,
,"$25,000 to $34,999",,,23.3,,,,25.9,,,,26.5,,,,32.4,,,,11.8,,!,,,16.2,,,,
,"$35,000 to $49,999",,,27.3,,,,26.3,,,,14.1,,,,26.4,,,,27.4,,!,,,20.8,,,,
,"$50,000 to $74,999",,,25.6,,!,,,51.6,,,,8.9,,!,,,25.5,,,,14.3,,!,,,26.4,,
,"$75,000 or more",,,37.7,,!,,,41.5,,!,,,24.4,,!,,,8.6,,!,,,23.1,,!,,,9.5
,Unknown,,,39.8,,,,34.2,,,,18.3,,,,35.2,,,,26.5,,,,26.2,,,,,
Non-Hispanic other,total,,,35,,,,23.9,,,,28.5,,,,24,,,,11.7,,,,21.2,,,,,
,"Less than $7,500",,,26.6,,!,,,32,,!,,,71.7,,!,,,56.6,,!,,,15.9,,!,,,19.6
,"$7,500 to $14,999",,,60,,,,43.9,,,,14.1,,!,,,84.9,,,,40.7,,,,16.8,,!,,
,"$15,000 to $24,999",,,74.2,,!,,,20.6,,!,,,40.4,,!,,,9.9,,!,,,13.4,,!,,,13.8
,"$25,000 to $34,999",,,26.4,,!,,,32.6,,!,,,41.7,,!,,,19.8,,!,,,7,,!,,,42.9
,"$35,000 to $49,999",,,14.5,,!,,,22.2,,!,,,13,,!,,,12.4,,!,,,2.1,,!,,,6.2
,"$50,000 to $74,999",,,37.9,,!,,,9.9,,!,,,30.7,,!,,,12.8,,!,,,7.2,,!,,,7.8
,"$75,000 or more",,,23.8,,!,,,3.2,,!,,,5.6,,!,,,18.6,,!,,,2.1,,!,,,28.9
,Unknown,,,8.4,,!,,,27,,,,20.9,,!,,,4.2,,!,,,13.7,,!,,,31.9,
Hispanic,total,,,40.9,,,,42.4,,,,34.7,,,,28.1,,,,25.1,,,,17.2,,,,,
,"Less than $7,500",,,66.7,,,,69.9,,,,53.2,,,,37.6,,,,54.4,,,,12.1,,!,,,
,"$7,500 to $14,999",,,39.3,,,,42.9,,,,29.3,,,,13.5,,,,30.5,,,,20.3,,,,,
,"$15,000 to $24,999",,,46.3,,,,30.5,,,,32.4,,,,39.7,,,,16.8,,,,19.6,,,,,
,"$25,000 to $34,999",,,15.6,,,,36.4,,,,28.2,,,,19.9,,,,23.6,,,,14.5,,,,,
,"$35,000 to $49,999",,,27.7,,!,,,52.5,,,,39.4,,,,18.6,,,,21.8,,,,9.4,,!,,
,"$50,000 to $74,999",,,48.4,,,,35.3,,!,,,53.5,,,,54.1,,,,20.7,,,,9.4,,!,,
,"$75,000 or more",,,49.3,,!,,,31.2,,!,,,23.6,,!,,,16.2,,!,,,2.9,,!,,,41.7
,Unknown,,,40.2,,,,36.8,,,,22.4,,,,24.5,,,,24.2,,,,19.2,,,,,
