race,income,,1999,,2000,,2001,,2002,,2003,,2004,,2005,,2006,,2007,,2008,,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total,total,,,15.9,,,,12.4,,,,11,,,,10,,,,10,,,,9.5,,,,9.2,,,,12.7,,,,9,,,,7.9,,,,7.8,,,,,,,,,,
Non-Hispanic white,total,,,13.9,,,,11.4,,,,9.7,,,,8.6,,,,9.4,,,,9,,,,7.6,,,,10.9,,,,7.6,,,,7,,,,6.1,,,,,,,,,,
,"Less than $7,500",,,27.7,,,,42.4,,,,37.3,,,,22.8,,,,27,,,,41,,,,15.3,,,,33,,,,22.8,,,,18.7,,,,17.8,,,,,,,,,,
,"$7,500 to $14,999",,,25.2,,,,14.3,,,,15.8,,,,14.5,,,,18.3,,,,11.1,,,,12.6,,,,13.9,,,,31.1,,,,28.7,,,,14.7,,,,,,,,,,
,"$15,000 to $24,999",,,28.8,,,,12.9,,,,14.1,,,,11.6,,,,8.2,,,,12.3,,,,18.2,,,,18.2,,,,11.8,,,,13.5,,,,7,,,,,,,,,,
,"$25,000 to $34,999",,,11.5,,,,12.5,,,,7.9,,,,13.8,,,,15.7,,,,6.7,,,,8.2,,,,22.6,,,,7.1,,,,8.3,,,,5.2,,,,,,,,,,
,"$35,000 to $49,999",,,11.1,,,,11.7,,,,10.9,,,,8.2,,,,9.5,,,,9,,,,7.6,,,,9.8,,,,8.3,,,,5.7,,,,6,,,,,,,,,,
,"$50,000 to $74,999",,,12.1,,,,7.9,,,,6.6,,,,5.7,,,,7.1,,,,8.6,,,,6.1,,,,13.4,,,,5.6,,,,7,,,,7.8,,,,,,,,,,
,"$75,000 or more",,,6.9,,,,8.2,,,,6.4,,,,5.2,,,,6.2,,,,6.9,,,,5.3,,,,5.4,,,,4.5,,,,4.3,,,,4.5,,,,,,,,,,
,Unknown,,,9.6,,,,9.7,,,,8.1,,,,7.6,,,,7.8,,,,6.7,,,,5.5,,,,6.4,,,,6.4,,,,5.2,,,,5.2,,,,,,,,,,
Non-Hispanic black,total,,,27.7,,,,16.2,,,,16.6,,,,17.8,,,,12.8,,,,16.3,,,,15.4,,,,23.1,,,,19.2,,,,12.4,,,,16.8,,,,,,,,,,
,"Less than $7,500",,,48.9,,,,30.1,,,,42.9,,,,25.7,,,,28,,,,8.9,,!,,,22.4,,!,,,57.7,,,,38.5,,,,26.5,,,,42.1,,,,,,,,
,"$7,500 to $14,999",,,43.5,,,,24.9,,,,20.4,,,,34.8,,,,17.1,,,,22.8,,,,8.5,,!,,,30.6,,,,30.9,,,,24.1,,!,,,25,,,,,,,,
,"$15,000 to $24,999",,,30.7,,,,13.5,,,,38.3,,,,37.7,,,,13.5,,,,32.7,,,,42.2,,,,57.2,,,,12.8,,,,10.3,,!,,,16.7,,,,,,,,,
,"$25,000 to $34,999",,,17.2,,,,17.2,,,,5,,!,,,5.3,,!,,,18,,,,15.8,,,,23.5,,,,13.4,,!,,,71.2,,!,,,15.6,,!,,,22.7,,!,,,
,"$35,000 to $49,999",,,26.9,,,,8.7,,!,,,8.3,,!,,,16.9,,,,6.9,,!,,,19.3,,!,,,17,,,,8.8,,!,,,6.3,,!,,,2.9,,!,,,11.5,,!,
,"$50,000 to $74,999",,,20.7,,,,27.7,,,,6.1,,!,,,6.2,,!,,,15.2,,,,19.3,,!,,,11,,!,,,21.2,,!,,,6.6,,!,,,8,,!,,,9.9,,!,
,"$75,000 or more",,,31.2,,!,,,12.1,,!,,,5.7,,!,,,8.5,,!,,,8.3,,!,,,6.4,,!,,,8.5,,!,,,4.4,,!,,,2.8,,!,,,4.1,,!,,,10
,Unknown,,,13.7,,,,7.5,,,,9.7,,,,10.9,,,,7.6,,,,9.9,,,,5.7,,,,17.4,,,,15,,,,15,,,,14.7,,,,,,,,,,
Non-Hispanic other,total,,,9.1,,,,9.4,,,,6.8,,,,4.5,,,,13.4,,,,8.3,,,,10.7,,,,14.2,,,,8.9,,,,7.2,,,,4.9,,,,,,,,,,
,"Less than $7,500",,,5,,!,,,18.8,,!,,,12.9,,!,,,--,,,25.6,,!,,,8.1,,!,,,72.6,,!,,,18.8,,!,,,--,,,11.3,,!,,,30.5,,!,,
,"$7,500 to $14,999",,,20.9,,!,,,32.1,,!,,,9.1,,!,,,3.3,,!,,,45.1,,!,,,8.5,,!,,,--,,,18.4,,!,,,10.8,,!,,,--,,,37.3,,!,,
,"$15,000 to $24,999",,,2.8,,!,,,13.9,,!,,,2.6,,!,,,7.6,,!,,,31.4,,,,8,,!,,,7.6,,!,,,33.7,,!,,,2.3,,!,,,19.8,,!,,,11,
,"$25,000 to $34,999",,,2.8,,!,,,10.2,,!,,,8.7,,!,,,11.5,,!,,,8.9,,!,,,48.9,,!,,,21.5,,!,,,25,,!,,,22.8,,!,,,14.4,,!,,,5.1
,"$35,000 to $49,999",,,9.1,,!,,,2.1,,!,,,9,,!,,,12.3,,!,,,6.1,,!,,,1.6,,!,,,4.1,,!,,,23.1,,!,,,10,,!,,,10.5,,!,,,7.3
,"$50,000 to $74,999",,,7.7,,!,,,4.1,,!,,,8,,!,,,1.7,,!,,,4.5,,!,,,3.4,,!,,,9,,!,,,13,,!,,,11,,!,,,8.1,,!,,,1.6
,"$75,000 or more",,,6.9,,!,,,4.2,,!,,,4.4,,!,,,1.3,,!,,,4.4,,!,,,4,,!,,,7.9,,!,,,8.7,,!,,,2.8,,!,,,6.5,,!,,,0.9
