"race","income","year","count","rate","number","class"
"hispanic","15000 to 24999",1993,156127,46.3,3372073.43412527,"middle"
"hispanic","15000 to 24999",1994,123042,30.5,4034163.93442623,"middle"
"hispanic","15000 to 24999",1995,131444,32.4,4056913.58024691,"middle"
"hispanic","15000 to 24999",1996,179690,39.7,4526196.47355164,"middle"
"hispanic","15000 to 24999",1997,74750,16.8,4449404.76190476,"middle"
"hispanic","15000 to 24999",1998,84939,19.6,4333622.44897959,"middle"
"hispanic","15000 to 24999",1999,77463,16.5,4694727.27272727,"middle"
"hispanic","15000 to 24999",2000,37368,8.6,4345116.27906977,"middle"
"hispanic","15000 to 24999",2001,97778,21.4,4569065.42056075,"middle"
"hispanic","15000 to 24999",2002,49935,11.1,4498648.64864865,"middle"
"hispanic","15000 to 24999",2003,44428,9.2,4829130.43478261,"middle"
"hispanic","15000 to 24999",2004,24795,5.1,4861764.70588235,"middle"
"hispanic","15000 to 24999",2005,58545,12.5,4683600,"middle"
"hispanic","15000 to 24999",2006,60311,13.6,4434632.35294118,"middle"
"hispanic","15000 to 24999",2007,27613,7.1,3889154.92957747,"middle"
"hispanic","15000 to 24999",2008,12887,3.4,3790294.11764706,"middle"
"hispanic","15000 to 24999",2009,28734,6.5,4420615.38461538,"middle"
"hispanic","15000 to 24999",2010,40889,9.5,4304105.26315789,"middle"
"hispanic","15000 to 24999",2011,33013,7.4,4461216.21621622,"middle"
"hispanic","15000 to 24999",2012,33297,6.8,4896617.64705882,"middle"
"hispanic","15000 to 24999",2013,64839,13.9,4664676.25899281,"middle"
"hispanic","15000 to 24999",2014,22466,5.2,4320384.61538462,"middle"
"hispanic","15000 to 24999",2015,24164,5.5,4393454.54545455,"middle"
"hispanic","25000 to 34999",1993,36239,15.6,2323012.82051282,"middle"
"hispanic","25000 to 34999",1994,88311,36.4,2426126.37362637,"middle"
"hispanic","25000 to 34999",1995,76182,28.2,2701489.36170213,"middle"
"hispanic","25000 to 34999",1996,58738,19.9,2951658.29145729,"middle"
"hispanic","25000 to 34999",1997,75005,23.6,3178177.96610169,"middle"
"hispanic","25000 to 34999",1998,46437,14.5,3202551.72413793,"middle"
"hispanic","25000 to 34999",1999,82804,25.6,3234531.25,"middle"
"hispanic","25000 to 34999",2000,25467,7.3,3488630.1369863,"middle"
"hispanic","25000 to 34999",2001,42637,11.7,3644188.03418803,"middle"
"hispanic","25000 to 34999",2002,40553,10.6,3825754.71698113,"middle"
"hispanic","25000 to 34999",2003,30648,6.9,4441739.13043478,"middle"
"hispanic","25000 to 34999",2004,36571,8.3,4406144.57831325,"middle"
"hispanic","25000 to 34999",2005,28971,6.5,4457076.92307692,"middle"
"hispanic","25000 to 34999",2006,80715,18.9,4270634.92063492,"middle"
"hispanic","25000 to 34999",2007,29645,7.1,4175352.11267606,"middle"
"hispanic","25000 to 34999",2008,27415,7,3916428.57142857,"middle"
"hispanic","25000 to 34999",2009,58284,13.6,4285588.23529412,"middle"
"hispanic","25000 to 34999",2010,13168,3,4389333.33333333,"middle"
"hispanic","25000 to 34999",2011,33511,7.5,4468133.33333333,"middle"
"hispanic","25000 to 34999",2012,44052,8.2,5372195.12195122,"middle"
"hispanic","25000 to 34999",2013,49644,8.4,5910000,"middle"
"hispanic","25000 to 34999",2014,71537,13.4,5338582.08955224,"middle"
"hispanic","25000 to 34999",2015,36252,6.4,5664375,"middle"
"hispanic","35000 to 49999",1993,54469,27.7,1966389.89169675,"middle"
"hispanic","35000 to 49999",1994,104905,52.5,1998190.47619048,"middle"
