"countryname","prisonpop","prisonrate","pretrial","pctfemale","pctforeign","occupancy"
"Reunion (France)",1148,130,14,3,NA,95.9
"Mayotte (France)",308,118,56.1,0.3,NA,110.8
"Mozambique",18185,61,33.1,2.9,1.5,233
"Vietnam",130002,137,12.5,13.6,0.4,NA
"Malaysia",55413,177,29.8,7.2,27.8,121.4
"Ukraine",56638,157,34.2,4.2,1.7,68.3
"Sint Maarten (Netherlands)",62,153,18.1,5,20.2,125.4
"Belgium",10073,88,35.6,4.5,44.3,109.3
"Guyana",2200,283,35.6,3.5,1.5,128.8
"Albania",5407,188,40.6,1.9,1.5,103.8
"Taiwan",62634,265,5.2,8.9,0.7,114.8
"Macau  (China)",1371,208,18.6,13.9,67.3,82.8
"Japan",51805,41,10.8,8.3,5.5,66.8
"Peru",87995,270,39.8,5.7,1.8,224.7
"Greenland (Denmark)",139,249,32.5,13.8,0.9,90.3
"Dominica",211,289,23.7,1.4,1.9,73
"Colombia",118708,240,33.7,6.8,0.9,147.2
"Chile",42683,233,33.3,8.6,3.4,110.9
"Brazil",690722,324,35.4,6.9,0.4,165.4
"Kenya",54000,108,48,7.4,0.6,201.7
"United Kingdom: Scotland",7791,143,19.5,5.1,3.9,96.6
"United Kingdom: Northern Ireland",1415,75,27.7,6.3,8.7,76.5
"United Kingdom: England & Wales",83052,140,11.2,4.6,11,109.4
"Slovakia",10415,191,15.6,7.3,2.1,92.5
"Russian Federation",587111,405,17.6,8,4.3,79
"Romania",22299,115,8.3,4.8,1.2,122.5
"Portugal",13095,127,16.5,6.3,15.3,100.1
"Poland",73651,194,9.9,4.1,1.3,90.8
"Ireland, Republic of",3851,79,16.9,3.9,13,90.2
"Bangladesh",88424,53,78.2,3.8,0.8,241.5
"Cayman Islands  (United Kingdom)",253,393,29.6,6.7,23.3,102.1
"Hong Kong  (China)",8306,112,23.5,20.5,29.9,77.3
"Mexico",204422,164,39.4,5.2,1.2,96.6
"Palau",82,373,4.1,3.9,6.5,141.4
"United States of America",2121600,655,21.6,9.8,5.2,103.9
"Paraguay",13607,199,77.9,6.5,4.2,143.1
"Nicaragua",17196,276,21.4,5.4,2.9,190.9
"Jordan",15700,197,44.4,4,14,69.3
"Honduras",18950,216,53.1,4.3,1.3,178.8
"Samoa",400,204,14,6,0.5,121.2
"Marshall Islands",35,66,11.4,0,NA,97.2
"Fiji",1423,158,26.7,5.2,1.2,103.7
"Cook Islands  (New Zealand)",48,229,14.6,8.3,0,50
