"state_alpha2","year","race","mu","dimension"
"AL","1955","1",0.433592762186082,"all"
"AK","1955","1",0.429024761598056,"all"
"AZ","1955","1",0.419558323423776,"all"
"AR","1955","1",0.442517427888058,"all"
"CA","1955","1",0.418856971929979,"all"
"CO","1955","1",0.419073187823345,"all"
"CT","1955","1",0.397570769262683,"all"
"DE","1955","1",0.438215775357224,"all"
"DC","1955","1",0.433949103284851,"all"
"FL","1955","1",0.439823173221163,"all"
"GA","1955","1",0.437067258423857,"all"
"HI","1955","1",0.41989783050753,"all"
"ID","1955","1",0.421201964018012,"all"
"IL","1955","1",0.410699084634521,"all"
"IN","1955","1",0.411282200482606,"all"
"IA","1955","1",0.39241575630872,"all"
"KS","1955","1",0.392067773898416,"all"
"KY","1955","1",0.432003441212664,"all"
"LA","1955","1",0.442181496265137,"all"
"ME","1955","1",0.39849245091901,"all"
"MD","1955","1",0.437744310749775,"all"
"MA","1955","1",0.397756396195613,"all"
"MI","1955","1",0.411434777499951,"all"
"MN","1955","1",0.391697891786474,"all"
"MS","1955","1",0.434358063492938,"all"
"MO","1955","1",0.390563322395505,"all"
"MT","1955","1",0.42110970981805,"all"
"NE","1955","1",0.392647777964082,"all"
"NV","1955","1",0.424275310583753,"all"
"NH","1955","1",0.398107242930389,"all"
"NJ","1955","1",0.418120362423134,"all"
"NM","1955","1",0.418825711999556,"all"
"NY","1955","1",0.417386704789103,"all"
"NC","1955","1",0.436571481166042,"all"
"ND","1955","1",0.391471136874528,"all"
"OH","1955","1",0.41110875744862,"all"
"OK","1955","1",0.442884802359651,"all"
"OR","1955","1",0.419285157883255,"all"
"PA","1955","1",0.418189076896004,"all"
"RI","1955","1",0.395914408394271,"all"
"SC","1955","1",0.436180655611805,"all"
"SD","1955","1",0.391793684614973,"all"
"TN","1955","1",0.433052399368159,"all"
"TX","1955","1",0.442566929819709,"all"
"UT","1955","1",0.419622172180515,"all"
"VT","1955","1",0.397102368552702,"all"
"VA","1955","1",0.437051865631554,"all"
"WA","1955","1",0.419059897100107,"all"
"WV","1955","1",0.436592711865226,"all"
"WI","1955","1",0.411279941608064,"all"
"WY","1955","1",0.42193681387753,"all"
"all","1955","1",0.418106482622561,"all"
"AL","1956","1",0.417679180643526,"all"
"AK","1956","1",0.412422818294826,"all"
"AZ","1956","1",0.403758286117163,"all"
"AR","1956","1",0.42637007263672,"all"
"CA","1956","1",0.403012741010208,"all"
"CO","1956","1",0.40326177585697,"all"
"CT","1956","1",0.381959692378149,"all"
"DE","1956","1",0.422232938047638,"all"
"DC","1956","1",0.417233433102327,"all"
"FL","1956","1",0.423723450250127,"all"
"GA","1956","1",0.421133914210578,"all"
"HI","1956","1",0.403411718871984,"all"
"ID","1956","1",0.405593807268606,"all"
"IL","1956","1",0.39498180989531,"all"
"IN","1956","1",0.395740642501655,"all"
"IA","1956","1",0.377213824762726,"all"
"KS","1956","1",0.376784131624736,"all"
"KY","1956","1",0.415926048528856,"all"
"LA","1956","1",0.426188498734252,"all"
"ME","1956","1",0.383043182567036,"all"
