"year","race","south","ed","mu","dimension"
"1971","1","all","all",0.418949001615218,"anxiety"
"1973","1","all","all",0.452778404032009,"anxiety"
"1974","1","all","all",0.45390830474872,"anxiety"
"1975","1","all","all",0.459084824531736,"anxiety"
"1976","1","all","all",0.451228098607123,"anxiety"
"1977","1","all","all",0.49578788403814,"anxiety"
"1978","1","all","all",0.443279297941769,"anxiety"
"1979","1","all","all",0.45438393338839,"anxiety"
"1980","1","all","all",0.485171862992995,"anxiety"
"1981","1","all","all",0.527014282745068,"anxiety"
"1982","1","all","all",0.536329596425591,"anxiety"
"1983","1","all","all",0.473042250839579,"anxiety"
"1984","1","all","all",0.4077286550033,"anxiety"
"1985","1","all","all",0.431121258659295,"anxiety"
"1986","1","all","all",0.435851502168527,"anxiety"
"1987","1","all","all",0.433006164518767,"anxiety"
"1988","1","all","all",0.46465600059625,"anxiety"
"1989","1","all","all",0.522524320122625,"anxiety"
"1990","1","all","all",0.461300663783554,"anxiety"
"1991","1","all","all",0.438189338804183,"anxiety"
"1992","1","all","all",0.501007173519223,"anxiety"
"1993","1","all","all",0.481876446778925,"anxiety"
"1994","1","all","all",0.544979705643509,"anxiety"
"1995","1","all","all",0.497434477986948,"anxiety"
"1996","1","all","all",0.47600799563666,"anxiety"
"1997","1","all","all",0.433297796136003,"anxiety"
"1998","1","all","all",0.423680407071796,"anxiety"
"2000","1","all","all",0.423636153033293,"anxiety"
"2002","1","all","all",0.400305556132101,"anxiety"
"2004","1","all","all",0.414472699014895,"anxiety"
"2006","1","all","all",0.444965038127344,"anxiety"
"2008","1","all","all",0.425754978469252,"anxiety"
"2010","1","all","all",0.389611776629447,"anxiety"
"2012","1","all","all",0.334722474590909,"anxiety"
"2014","1","all","all",0.386340251431349,"anxiety"
"all","1","all","all",0.450242100587678,"anxiety"
"1971","2","all","all",0.499496308152139,"anxiety"
"1973","2","all","all",0.586014554598004,"anxiety"
"1974","2","all","all",0.627711757541691,"anxiety"
"1975","2","all","all",0.59289350201431,"anxiety"
"1976","2","all","all",0.573069780167103,"anxiety"
"1977","2","all","all",0.607030520043159,"anxiety"
"1978","2","all","all",0.618957515442842,"anxiety"
