"year","var","val"
1960,"fbihom",5.1
1961,"fbihom",4.8
1962,"fbihom",4.6
1963,"fbihom",4.6
1964,"fbihom",4.9
1965,"fbihom",5.1
1966,"fbihom",5.6
1967,"fbihom",6.2
1968,"fbihom",6.9
1969,"fbihom",7.3
1970,"fbihom",7.9
1971,"fbihom",8.6
1972,"fbihom",9
1973,"fbihom",9.4
1974,"fbihom",9.8
1975,"fbihom",9.6
1976,"fbihom",8.7
1977,"fbihom",8.8
1978,"fbihom",9
1979,"fbihom",9.8
1980,"fbihom",10.2
1981,"fbihom",9.8
1982,"fbihom",9.1
1983,"fbihom",8.3
1984,"fbihom",7.9
1985,"fbihom",8
1986,"fbihom",8.6
1987,"fbihom",8.3
1988,"fbihom",8.5
1989,"fbihom",8.7
1990,"fbihom",9.4
1991,"fbihom",9.8
1992,"fbihom",9.3
1993,"fbihom",9.5
1994,"fbihom",9
1995,"fbihom",8.2
1996,"fbihom",7.4
1997,"fbihom",6.8
1998,"fbihom",6.3
1999,"fbihom",5.7
2000,"fbihom",5.5
2001,"fbihom",5.6
2002,"fbihom",5.6
2003,"fbihom",5.7
2004,"fbihom",5.5
2005,"fbihom",5.6
2006,"fbihom",5.8
2007,"fbihom",5.7
2008,"fbihom",5.4
2009,"fbihom",5
2010,"fbihom",4.8
2011,"fbihom",4.7
2012,"fbihom",4.7
2013,"fbihom",4.5
2014,"fbihom",4.5
1960,"fbivcrt",160.9
1961,"fbivcrt",158.1
1962,"fbivcrt",162.3
1963,"fbivcrt",168.2
1964,"fbivcrt",190.6
1965,"fbivcrt",200.2
1966,"fbivcrt",220
1967,"fbivcrt",253.2
1968,"fbivcrt",298.4
1969,"fbivcrt",328.7
1970,"fbivcrt",363.5
1971,"fbivcrt",396
1972,"fbivcrt",401
1973,"fbivcrt",417.4
1974,"fbivcrt",461.1
1975,"fbivcrt",487.8
1976,"fbivcrt",467.8
1977,"fbivcrt",475.9
1978,"fbivcrt",497.8
1979,"fbivcrt",548.9
1980,"fbivcrt",596.6
1981,"fbivcrt",593.5
1982,"fbivcrt",570.8
1983,"fbivcrt",538.1
1984,"fbivcrt",539.9
1985,"fbivcrt",558.1
1986,"fbivcrt",620.1
1987,"fbivcrt",612.5
1988,"fbivcrt",640.6
1989,"fbivcrt",666.9
1990,"fbivcrt",729.6
1991,"fbivcrt",758.2
1992,"fbivcrt",757.7
1993,"fbivcrt",747.1
1994,"fbivcrt",713.6
1995,"fbivcrt",684.5
1996,"fbivcrt",636.6
1997,"fbivcrt",611
1998,"fbivcrt",567.6
1999,"fbivcrt",523
2000,"fbivcrt",506.5
2001,"fbivcrt",504.5
2002,"fbivcrt",494.4
2003,"fbivcrt",475.8
2004,"fbivcrt",463.2
2005,"fbivcrt",469
2006,"fbivcrt",479.3
2007,"fbivcrt",471.8
2008,"fbivcrt",458.6
