race,ed,1945-1949,1950-1954,1955-1959,1960-1964,1965-1969,1970-1974,1975-1979
white,dropouts,4.2,7.2,8.0,8.0,10.5,14.8,15.3
white,hsgrad,0.7,2.0,2.1,2.5,4.0,3.8,4.1
white,allnoncollege,1.8,2.9,3.2,3.7,5.1,5.1,6.3
white,somecollege,0.7,0.7,0.6,0.8,0.7,0.9,1.2
white,total,1.2,1.9,2.0,2.2,2.8,2.8,3.3
black,dropouts,14.7,19.6,27.6,41.6,57.0,62.5,69.0
black,hsgrad,10.2,11.3,9.4,12.4,16.8,20.3,18.0
black,allnoncollege,12.1,14.1,14.7,19.9,26.7,30.9,35.7
black,somecollege,4.9,3.5,4.3,5.5,6.8,8.5,7.6
black,total,9.0,10.6,11.5,15.2,20.3,22.8,20.7
